layer,kappa,sigma_min,sigma_max,layer_type,exploitation_score
model.layers.9.self_attn.v_proj,5.946189537723328,6.9755997021993,41.181312815348306,stable,10.0
model.layers.9.self_attn.o_proj,39.757064039878266,1.0810440937678019,34.68499673207601,stable,10.0
model.layers.9.mlp.gate_proj,11.44436033112831,7.951542568206787,90.91113001505533,stable,10.0
model.layers.9.mlp.up_proj,6.86971149060219,7.507859563827514,51.545964940389,stable,10.0
model.layers.9.mlp.down_proj,20.35175530982958,0.2359415555993716,4.800130478541056,stable,10.0
model.layers.10.self_attn.q_proj,6.039927643286341,16.57877960205078,98.32574564615885,stable,10.0
model.layers.10.self_attn.k_proj,6.12903379696928,13.105775547027587,78.83609784444174,stable,10.0
model.layers.10.self_attn.v_proj,4.103266478733794,9.215431785583496,37.77124621073405,stable,10.0
model.layers.10.self_attn.o_proj,22.390672260336583,1.8173250754674275,35.93967711130778,stable,10.0
model.layers.10.mlp.gate_proj,10.3171146791776,6.8965796311696375,71.10445721944173,stable,10.0
model.layers.10.mlp.up_proj,6.831761913836908,6.358727359771729,43.430503336588544,stable,10.0
model.layers.10.mlp.down_proj,30.934352973413873,0.11556554362177848,3.5698521534601846,stable,10.0
model.layers.11.self_attn.q_proj,5.170573714745046,16.507839234670005,83.82873306274413,stable,10.0
model.layers.11.self_attn.k_proj,5.831467134373018,13.82849775950114,77.73371493021646,stable,10.0
model.layers.11.self_attn.v_proj,5.724069596810835,6.365520207087199,36.44051977793376,stable,10.0
model.layers.11.self_attn.o_proj,13.644075357807802,2.0056928753852845,23.730587832132976,stable,10.0
model.layers.11.mlp.gate_proj,8.20676167278973,9.03512274424235,74.0837464650472,stable,10.0
model.layers.11.mlp.up_proj,5.732665173260502,7.762392234802246,44.495042928059895,stable,10.0
model.layers.11.mlp.down_proj,14.572733810685675,0.2430640270312627,3.52841374874115,stable,10.0
model.layers.12.self_attn.q_proj,5.882504589106892,16.006486479441325,91.50691223144531,stable,10.0
model.layers.12.self_attn.k_proj,5.829093435851728,12.025414911905925,68.36456642150878,stable,10.0
model.layers.12.self_attn.v_proj,5.853618364973048,9.083210023244222,53.124945322672524,stable,10.0
model.layers.12.self_attn.o_proj,16.601673654978153,2.5978981494903564,40.149555651346844,stable,10.0
model.layers.12.mlp.gate_proj,7.155910036872766,8.286118984222412,59.26626180013021,stable,10.0
model.layers.12.mlp.up_proj,4.348236885605031,8.721406682332356,37.88578205108642,stable,10.0
model.layers.12.mlp.down_proj,17.653989587387994,0.1665879651904106,2.937572971979777,stable,10.0
model.layers.13.self_attn.q_proj,5.504983920473273,16.77130568822225,88.6376558939616,stable,10.0
model.layers.13.self_attn.k_proj,6.041136812823144,12.491751178105671,71.64782053629557,stable,10.0
model.layers.13.self_attn.v_proj,7.975509543855629,4.043291711807251,32.24062735239665,stable,10.0
model.layers.13.self_attn.o_proj,32.5549745442026,1.0751769622166951,30.820619710286458,stable,10.0
model.layers.13.mlp.gate_proj,9.293002275938806,6.569327481587728,60.968533198038735,stable,10.0
model.layers.13.mlp.up_proj,6.759053237010116,5.599744113286336,37.84356155395508,stable,10.0
model.layers.13.mlp.down_proj,26.72240805661405,0.10597173323233923,2.8305859645207723,stable,10.0
model.layers.14.self_attn.q_proj,4.980601323355302,17.609865856170654,85.95943730672201,stable,10.0
model.layers.14.self_attn.k_proj,4.987366657900673,13.665003522237141,65.99008242289226,stable,10.0
model.layers.14.self_attn.v_proj,5.632042673436238,7.184560823440552,40.445836003621416,stable,10.0
model.layers.14.self_attn.o_proj,33.84478497362478,1.4453164716561635,43.834163157145184,stable,10.0
model.layers.14.mlp.gate_proj,10.02782021067618,5.566896533966064,55.711212158203125,stable,10.0
model.layers.14.mlp.up_proj,7.80588769763443,4.146676190694174,32.363115819295246,stable,10.0
model.layers.14.mlp.down_proj,40.62268217596732,0.06005384959280491,2.4390304923057555,stable,10.0
model.layers.15.self_attn.q_proj,6.33319237279625,15.464090315500895,96.50113677978516,stable,10.0
model.layers.15.self_attn.k_proj,6.054926295711507,12.83307892481486,75.6910457611084,stable,10.0
model.layers.15.self_attn.v_proj,5.45235576394559,5.776903088887533,31.476717058817545,stable,10.0
model.layers.15.self_attn.o_proj,16.22619387281625,1.4517645359039306,23.374460474650064,stable,10.0
model.layers.15.mlp.gate_proj,10.37297617905576,5.9713218212127686,61.85250193277995,stable,10.0
model.layers.15.mlp.up_proj,7.738995818981531,4.483348035812378,34.69541390736898,stable,10.0
model.layers.15.mlp.down_proj,31.66148655609699,0.08643343324462573,2.7331461191177366,stable,10.0
model.layers.16.self_attn.q_proj,5.597170836709809,14.300046571095784,79.25670115152995,stable,10.0
model.layers.16.self_attn.k_proj,4.849732221167413,13.651385593414307,63.160753885904946,stable,10.0
model.layers.16.self_attn.v_proj,8.86403976800947,4.228589868545532,37.47047627766927,stable,10.0
model.layers.16.self_attn.o_proj,34.69148865139644,1.181729942560196,35.899565887451175,stable,10.0
model.layers.16.mlp.gate_proj,12.85702390619228,5.161101245880127,66.27526473999023,stable,10.0
model.layers.16.mlp.up_proj,9.337045477797703,4.130477301279703,38.56714973449707,stable,10.0
model.layers.16.mlp.down_proj,44.948461093731666,0.07648348261912664,3.431265123685201,stable,10.0
model.layers.17.self_attn.q_proj,7.179304362549689,12.162227153778076,86.98766530354818,stable,10.0
model.layers.17.self_attn.k_proj,5.421582577281392,13.934464422861735,73.52404581705729,stable,10.0
model.layers.17.self_attn.v_proj,7.192300743131756,5.126449187596639,36.86489467620849,stable,10.0
model.layers.17.self_attn.o_proj,24.403353495001024,1.22176451086998,28.44164441426595,stable,10.0
model.layers.17.mlp.gate_proj,12.740300847777565,6.143456602096558,78.13802324930826,stable,10.0
model.layers.17.mlp.up_proj,8.860255722919163,4.368479935328166,38.706438573201496,stable,10.0
model.layers.17.mlp.down_proj,40.00103938798505,0.08659957647323609,3.461336946487427,stable,10.0
model.layers.18.self_attn.q_proj,5.804105241567829,14.644690227508544,83.7668228149414,stable,10.0
model.layers.18.self_attn.k_proj,5.414567292772534,13.445485242207845,71.63033040364583,stable,10.0
model.layers.18.self_attn.v_proj,9.595173661270259,3.352580197652181,32.16838239034017,stable,10.0
model.layers.18.self_attn.o_proj,30.181148953807785,0.9471153537432353,27.321422704060872,stable,10.0
model.layers.18.mlp.gate_proj,15.611298580400165,6.88353476524353,107.33083724975586,stable,10.0
model.layers.18.mlp.up_proj,10.545099291712209,5.230331118901571,55.14779497782389,stable,10.0
model.layers.18.mlp.down_proj,53.17008437665971,0.11428213814894359,6.071251249313354,stable,10.0
model.layers.19.self_attn.q_proj,5.496592033389805,19.50517896016439,102.99205678304037,stable,10.0
model.layers.19.self_attn.k_proj,6.044870742404489,12.620492204030354,75.28866233825684,stable,10.0
model.layers.19.self_attn.v_proj,11.20208025272492,2.980874601999919,33.380746078491214,stable,10.0
model.layers.19.self_attn.o_proj,30.191262757060077,0.9566702723503113,28.536290804545086,stable,10.0
model.layers.19.mlp.gate_proj,13.56289224500408,7.656835810343424,103.77644907633463,stable,10.0
model.layers.19.mlp.up_proj,9.654942468861544,5.9262944539388025,57.21554018656413,stable,10.0
model.layers.19.mlp.down_proj,41.770069254049154,0.1716374898950259,7.163931401570638,stable,10.0
model.layers.20.self_attn.q_proj,6.720899566832302,13.88479528427124,92.70880355834962,stable,10.0
model.layers.20.self_attn.k_proj,6.009188670294821,11.128687858581543,66.17898419698079,stable,10.0
model.layers.20.self_attn.v_proj,8.830401126380869,3.5995402654012043,31.780160331726073,stable,10.0
model.layers.20.self_attn.o_proj,40.10095598506147,0.5916181931893031,22.37828114827474,stable,10.0
model.layers.20.mlp.gate_proj,12.62986585876082,6.767345190048218,85.42642110188802,stable,10.0
model.layers.20.mlp.up_proj,9.104124837181196,5.3477267583211265,48.68495038350423,stable,10.0
model.layers.20.mlp.down_proj,44.919373598188,0.13272204697132112,5.952835178375244,stable,10.0
model.layers.21.self_attn.q_proj,5.84061715494853,17.73130448659261,101.97972691853842,stable,10.0
model.layers.21.self_attn.k_proj,5.616074745997843,13.309622542063396,73.67530008951823,stable,10.0
model.layers.21.self_attn.v_proj,7.922265912509656,4.629471524556478,36.662937545776366,stable,10.0
model.layers.21.self_attn.o_proj,28.993441670246906,1.2011525909105936,34.39646765391032,stable,10.0
model.layers.21.mlp.gate_proj,10.492101499766042,6.696309820810954,70.2284787495931,stable,10.0
model.layers.21.mlp.up_proj,7.995934038769616,5.399035676320394,43.167937596639,stable,10.0
model.layers.21.mlp.down_proj,35.756295215181005,0.14832600057125092,5.295561504364014,stable,10.0
model.layers.22.self_attn.q_proj,7.165061988297828,12.357134342193604,88.09177602132162,stable,10.0
model.layers.22.self_attn.k_proj,4.890304936022673,12.57948309580485,60.27342338562012,stable,10.0
model.layers.22.self_attn.v_proj,7.415773439269604,3.518773619333903,26.0931427637736,stable,10.0
model.layers.22.self_attn.o_proj,87.01133085708592,0.2364428699016571,18.188036727905274,stable,10.0
model.layers.22.mlp.gate_proj,10.194622572169516,6.461246808369954,65.85211563110352,stable,10.0
model.layers.22.mlp.up_proj,7.853084241538393,5.798043696085612,45.52999216715495,stable,10.0
model.layers.22.mlp.down_proj,29.33403557148628,0.2017637237906456,5.914782349268595,stable,10.0
model.layers.23.self_attn.q_proj,5.905961954226362,15.868308703104654,92.05348765055338,stable,10.0
model.layers.23.self_attn.k_proj,5.229080829037952,13.494831562042236,69.05160954793294,stable,10.0
model.layers.23.self_attn.v_proj,9.342370402105713,2.9302489360173545,27.3700714747111,stable,10.0
model.layers.23.self_attn.o_proj,29.244807941093395,0.7290003776550293,21.01970230738322,stable,10.0
model.layers.23.mlp.gate_proj,10.023122917425791,6.114882437388102,61.28140131632487,stable,10.0
model.layers.23.mlp.up_proj,7.329953255253015,5.71938009262085,41.923831939697266,stable,10.0
model.layers.23.mlp.down_proj,28.858027184543793,0.18965058475732804,5.468848435084025,stable,10.0
model.layers.24.self_attn.q_proj,6.980355468680657,15.764947859446208,108.05562337239583,stable,10.0
model.layers.24.self_attn.k_proj,6.018431491263812,12.053255430857341,71.56376673380534,stable,10.0
model.layers.24.self_attn.v_proj,9.290177582035378,2.6955862681070966,25.039574813842773,stable,10.0
model.layers.24.self_attn.o_proj,17.655002947659064,1.2623037417729697,22.172212664286295,stable,10.0
model.layers.24.mlp.gate_proj,10.412119309095328,6.237727324167888,64.9404115041097,stable,10.0
model.layers.24.mlp.up_proj,8.203702835133354,5.716227849324544,46.892168299357095,stable,10.0
model.layers.24.mlp.down_proj,24.409144434281803,0.22456079373757046,5.476415475209554,stable,10.0
model.layers.25.self_attn.q_proj,7.943954177939725,15.070122814178466,116.28811747233073,stable,10.0
model.layers.25.self_attn.k_proj,9.800683288896847,7.8208598613739015,76.2211191813151,stable,10.0
model.layers.25.self_attn.v_proj,13.090401678892077,1.8583593050638834,24.322339630126955,stable,10.0
model.layers.25.self_attn.o_proj,13.173177506737646,1.0266761521498362,13.440530554453533,stable,10.0
model.layers.25.mlp.gate_proj,5.703830981574638,10.332641983032227,56.86082534790039,stable,10.0
model.layers.25.mlp.up_proj,4.66262625455087,10.52634654045105,47.05286750793457,stable,10.0
model.layers.25.mlp.down_proj,7.148649468335723,0.458518839875857,3.256464211146037,stable,10.0
lm_head,16.81227570275034,635.7551503499349,10301.254850260417,stable,10.0
